=== SHEET: Всі дані | dims=A1:X328 | max_row=328 max_col=24
row1:  | Рік відпустки (перебування):  | Місяць відпустки (перебування):  | Відвідуваний район:  | Тип розміщення:  | K1 | K2 | K3 | K4 | K5 | K6 | K7 | K8 | K9 | K10 | K11 | K12 | K13 | K14 | K15 | K16 | K17 | U | м
row2: e1 | 2020 та пізніше | Липень | Ужгородський (Закарпатська область) | Приватне помешкання | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 68 | 0.8536941345835999
row3: e2 | 2022 рік | Березень | Тячівський (Закарпатська область) | Хостел | 1 | 4 | 4 | 4 | 3 | 4 | 3 | 3 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 3 | 61 | 0.7231207341406969
row4: e3 | 2023 рік | Серпень | Львівський (Львівська область) | Кемпінг | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 68 | 0.8536941345835999
row5: e4 | 2023 рік | Серпень | Мукачівський (Закарпатська область) | Кемпінг | 2 | 2 | 1 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 33 | 0.13090606619186212
row6: e5 | 2023 рік | Серпень | Мукачівський (Закарпатська область) | Кемпінг | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 17 | 6.341362302486608e-07
row7: e6 | 2020 та пізніше | Серпень | Тячівський (Закарпатська область) | Сільська садиба | 3 | 4 | 5 | 4 | 4 | 5 | 5 | 5 | 3 | 4 | 4 | 5 | 4 | 5 | 5 | 5 | 4 | 74 | 0.9368738640319956
row8: e7 | 2020 та пізніше | Липень | Тячівський (Закарпатська область) | Готель | 3 | 4 | 4 | 4 | 3 | 3 | 4 | 3 | 4 | 4 | 2 | 4 | 4 | 3 | 3 | 4 | 3 | 59 | 0.6809047167653888
row9: e8 | 2022 рік | Серпень | Хустський (Закарпатська область) | Кемпінг | 1 | 3 | 3 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 3 | 2 | 4 | 4 | 4 | 2 | 58 | 0.6591954755687871
row10: e9 | 2020 та пізніше | Червень | Львівський (Львівська область) | Готель | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 68 | 0.8536941345835999
row11: e10 | 2020 та пізніше | Червень | Хустський (Закарпатська область) | Кемпінг | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 51 | 0.5003981633553666
row12: e11 | 2023 рік | Липень | Берегівський (Закарпатська область) | Приватне помешкання | 4 | 4 | 3 | 3 | 4 | 3 | 4 | 4 | 3 | 4 | 3 | 4 | 3 | 4 | 4 | 4 | 3 | 61 | 0.7231207341406969
row13: e12 | 2022 рік | Серпень | Хустський (Закарпатська область) | Готель | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 68 | 0.8536941345835999
row14: e13 | 2021 рік | Серпень | Ужгородський (Закарпатська область) | Готель | 4 | 4 | 4 | 3 | 4 | 4 | 4 | 4 | 3 | 3 | 4 | 3 | 4 | 4 | 4 | 5 | 3 | 64 | 0.7827710600756421
row15: e14 | 2023 рік | Вересень | Тячівський (Закарпатська область) | Готель | 3 | 3 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 66 | 0.8195945503668275
... (truncated) ...
row325: e324 | 2023 рік | Вересень | Івано-Франківський (Івано-Франківська область) | Хостел | 5 | 4 | 5 | 3 | 5 | 5 | 5 | 4 | 5 | 4 | 4 | 5 | 4 | 4 | 4 | 5 | 4 | 75 | 0.9476338324296207
row326: e325 | 2023 рік | Вересень | Івано-Франківський (Івано-Франківська область) | Хостел | 4 | 4 | 4 | 4 | 4 | 4 | 5 | 5 | 4 | 5 | 5 | 4 | 5 | 5 | 5 | 4 | 5 | 76 | 0.9574394958182026
row327: e326 | 2023 рік | Серпень | Хустський (Закарпатська область) | Готель | 5 | 4 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 4 | 4 | 4 | 4 | 5 | 80 | 0.986732429685351
row328: e327 | 2020 та пізніше | Червень | Хустський (Закарпатська область) | Сільська садиба | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 85 | 1
